CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID1026,Female,1,Yes,Yes,25,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Credit card,68.77,2817.12,Yes
ID1027,Female,0,No,Yes,13,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,One year,Yes,Electronic check,67.68,4746.55,No
ID1028,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,Two year,No,Mailed check,35.51,1296.1,Yes
ID1029,Female,0,No,Yes,36,No,No,DSL,Yes,No internet service,No internet service,No,No,No,Two year,No,Bank transfer,46.26,3941.38,Yes
ID1030,Male,0,Yes,Yes,57,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Credit card,34.21,7655.4,No
ID1031,Male,1,Yes,No,20,No,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,37.91,3669.54,No
ID1032,Female,0,Yes,Yes,68,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer,116.03,7294.68,No
ID1033,Female,1,No,Yes,2,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,One year,No,Credit card,33.64,5134.43,No
ID1034,Female,0,Yes,No,36,No,No,DSL,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Bank transfer,45.31,1682.57,No
ID1035,Male,1,No,Yes,48,No,Yes,DSL,No internet service,No,Yes,Yes,No,Yes,One year,Yes,Credit card,77.6,5055.17,Yes
ID1036,Female,1,No,Yes,18,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,79.57,4404.24,No
ID1037,Male,0,Yes,No,11,No,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,33.72,3474.15,Yes
ID1038,Male,0,No,Yes,60,No,No phone service,DSL,Yes,No,Yes,No,No internet service,Yes,One year,Yes,Mailed check,98.02,1056.57,Yes
ID1039,Male,0,Yes,Yes,40,No,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card,97.16,3630.7,Yes
ID1040,Male,0,Yes,Yes,32,No,No phone service,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,42.1,650.47,Yes
ID1041,Male,1,Yes,No,49,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer,47.26,875.81,No
ID1042,Female,0,Yes,Yes,67,No,Yes,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Two year,Yes,Credit card,112.52,3623.83,No
ID1043,Female,0,Yes,Yes,70,Yes,No,No,No internet service,No,No,No,No,No,One year,No,Mailed check,101.23,2666.07,Yes
ID1044,Female,1,No,No,32,Yes,No phone service,DSL,No,No,No,No,No,No,One year,No,Credit card,88.38,8039.66,Yes
ID1045,Female,0,No,Yes,23,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Two year,Yes,Credit card,26.51,3275.42,No
ID1046,Female,0,No,No,60,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,60.29,6586.69,Yes
ID1047,Male,0,Yes,No,60,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,74.46,4614.49,No
ID1048,Female,0,Yes,Yes,27,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,37.08,6120.76,Yes
ID1049,Female,0,Yes,No,57,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No,No,One year,No,Electronic check,63.3,2273.85,No
ID1050,Male,1,No,No,42,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,78.65,8181.42,Yes
ID1051,Female,0,Yes,Yes,40,Yes,Yes,No,Yes,Yes,No,No,No internet service,No,Two year,No,Mailed check,51.15,4613.11,Yes
ID1052,Male,0,No,No,38,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,No,Credit card,96.73,7223.26,Yes
ID1053,Female,0,No,No,48,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,Two year,Yes,Electronic check,102.72,3183.05,No
ID1054,Male,0,Yes,Yes,16,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,No,Electronic check,50.77,888.31,No
ID1055,Female,0,Yes,Yes,69,No,No phone service,DSL,Yes,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,102.54,5857.58,No
ID1056,Female,1,No,Yes,69,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,Yes,Month-to-month,No,Credit card,28.66,87.24,Yes
ID1057,Male,0,Yes,No,64,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,102.44,4138.32,Yes
ID1058,Male,1,No,Yes,4,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer,33.6,1690.59,Yes
ID1059,Male,1,Yes,No,1,Yes,No phone service,DSL,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,26.58,5456.08,Yes
ID1060,Male,0,Yes,No,21,No,No,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer,82.75,8506.48,Yes
ID1061,Male,0,No,No,56,No,No phone service,DSL,No,No internet service,No,No internet service,No,No internet service,One year,Yes,Credit card,65.68,4043.96,Yes
ID1062,Male,0,Yes,No,65,No,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No,Two year,Yes,Electronic check,109.49,7103.46,No
ID1063,Male,0,No,No,15,Yes,No phone service,No,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,54.75,4419.85,No
ID1064,Male,1,Yes,No,50,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No internet service,One year,No,Electronic check,47.11,4316.35,No
ID1065,Female,0,No,No,38,No,No,DSL,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Credit card,68.57,8081.93,Yes
ID1066,Female,0,No,Yes,39,No,No phone service,No,No,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,64.07,7731.38,No
ID1067,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer,52.87,6828.8,Yes
ID1068,Female,0,No,No,59,Yes,No,No,No internet service,Yes,No,Yes,No internet service,No internet service,One year,No,Mailed check,87.97,2587.0,Yes
ID1069,Female,0,Yes,No,58,No,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Two year,Yes,Electronic check,94.59,4742.39,No
ID1070,Female,0,Yes,Yes,9,Yes,No phone service,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,103.97,1960.02,Yes
ID1071,Female,1,Yes,No,63,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,Two year,No,Credit card,116.02,3866.45,Yes
ID1072,Male,1,No,Yes,62,No,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,One year,Yes,Credit card,45.05,4215.61,Yes
ID1073,Female,0,No,Yes,48,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,90.22,7225.99,Yes
ID1074,Male,0,Yes,Yes,63,No,No phone service,DSL,No,No internet service,No,Yes,No,Yes,Two year,No,Credit card,57.87,7783.91,Yes
ID1075,Female,0,Yes,No,31,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,Yes,No,One year,No,Credit card,86.3,3612.6,No
ID1076,Female,1,No,No,6,No,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,One year,Yes,Credit card,66.09,173.41,No
ID1077,Female,0,Yes,Yes,20,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,118.12,7487.1,Yes
ID1078,Male,1,Yes,Yes,19,No,Yes,No,No,No,No,No internet service,No,No,Two year,Yes,Electronic check,91.5,1530.09,Yes
ID1079,Female,0,No,Yes,25,No,No,DSL,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card,113.98,5408.48,No
ID1080,Male,0,Yes,Yes,67,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,102.16,236.37,No
ID1081,Female,0,No,Yes,14,No,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card,108.99,3481.64,No
ID1082,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,Yes,Two year,No,Bank transfer,100.1,8563.15,Yes
ID1083,Female,1,No,Yes,26,Yes,Yes,DSL,No,No,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,64.4,892.49,No
ID1084,Male,1,Yes,No,39,No,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No,One year,Yes,Electronic check,43.55,3691.22,No
ID1085,Male,0,Yes,Yes,57,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No internet service,One year,No,Mailed check,55.47,2681.39,Yes
ID1086,Female,0,No,No,27,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.28,7862.41,Yes
ID1087,Male,1,Yes,No,25,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,One year,Yes,Mailed check,70.91,7552.66,No
ID1088,Female,1,No,No,62,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,69.01,2079.61,Yes
ID1089,Female,1,Yes,No,65,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,No,Two year,No,Credit card,71.04,723.48,No
ID1090,Female,1,No,No,24,No,No phone service,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,116.14,5454.03,No
ID1091,Female,0,No,No,2,No,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,No,Two year,No,Credit card,109.85,2934.57,Yes
ID1092,Female,1,No,Yes,71,No,No phone service,Fiber optic,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer,34.5,5843.48,Yes
ID1093,Female,0,No,No,43,No,No phone service,No,Yes,No internet service,Yes,No,Yes,No,Two year,No,Bank transfer,55.32,298.31,No
ID1094,Female,1,Yes,Yes,41,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,60.86,1175.88,Yes
ID1095,Female,1,Yes,No,5,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,No,Two year,Yes,Credit card,54.48,5967.28,Yes
ID1096,Female,1,No,No,38,No,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Credit card,98.5,1860.15,Yes
ID1097,Female,1,No,Yes,51,Yes,No phone service,DSL,No internet service,No,No,Yes,No,Yes,One year,No,Electronic check,70.92,7450.83,Yes
ID1098,Female,1,No,No,22,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,75.75,527.68,Yes
ID1099,Male,0,Yes,Yes,49,No,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No internet service,One year,No,Electronic check,103.98,1887.11,Yes
ID1100,Male,0,Yes,Yes,42,Yes,No phone service,No,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card,99.25,8672.32,Yes
ID1101,Female,1,Yes,Yes,18,No,Yes,No,No internet service,Yes,No internet service,Yes,Yes,No,One year,No,Electronic check,31.54,3772.52,No
ID1102,Female,1,Yes,Yes,68,No,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No,Two year,Yes,Electronic check,90.0,6111.06,Yes
ID1103,Female,0,No,No,50,Yes,Yes,No,No internet service,No internet service,No,No,No internet service,No,One year,Yes,Electronic check,62.01,1602.74,No
ID1104,Female,1,No,No,10,Yes,No,No,No internet service,Yes,Yes,Yes,Yes,No internet service,One year,No,Mailed check,47.86,5304.39,Yes
ID1105,Female,1,No,Yes,11,No,No,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer,23.28,6311.56,No
ID1106,Female,0,Yes,No,7,No,Yes,DSL,No,No,No,Yes,Yes,No internet service,One year,Yes,Bank transfer,67.22,2744.88,Yes
ID1107,Female,1,Yes,No,23,Yes,No,No,Yes,No internet service,No,No,No internet service,No,Two year,No,Credit card,53.97,7202.23,No
ID1108,Female,1,Yes,Yes,40,No,No,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card,43.53,5248.49,Yes
ID1109,Male,0,No,No,35,No,Yes,No,No internet service,No,No,Yes,No internet service,Yes,One year,Yes,Mailed check,88.06,3391.67,No
ID1110,Female,0,No,Yes,71,No,No,No,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer,95.58,4851.86,Yes
ID1111,Male,0,Yes,Yes,54,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,Two year,No,Electronic check,42.85,5017.52,Yes
ID1112,Female,1,No,No,8,No,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,One year,No,Electronic check,23.22,1454.33,No
ID1113,Female,0,Yes,No,46,Yes,Yes,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card,103.55,3509.6,No
ID1114,Male,0,Yes,No,14,No,No,DSL,No,No internet service,No internet service,No,No,No,One year,No,Bank transfer,19.25,2995.76,Yes
ID1115,Female,0,No,Yes,47,Yes,No phone service,No,No,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card,112.43,3493.74,No
ID1116,Male,0,Yes,Yes,41,No,No phone service,Fiber optic,Yes,No internet service,No,No,No,No internet service,Month-to-month,No,Credit card,81.33,6614.87,No
ID1117,Female,0,No,No,59,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,50.6,4201.1,Yes
ID1118,Female,0,Yes,No,69,Yes,No,No,No,No,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,43.02,8167.65,No
ID1119,Male,1,No,No,11,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,One year,Yes,Bank transfer,19.16,2564.65,Yes
ID1120,Female,1,No,No,1,No,No phone service,No,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Credit card,41.91,3621.99,No
ID1121,Male,0,No,Yes,6,No,Yes,DSL,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,32.09,6838.82,Yes
ID1122,Female,0,Yes,No,2,No,Yes,DSL,Yes,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer,79.77,4751.19,No
ID1123,Male,0,Yes,Yes,2,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Credit card,34.99,4759.89,Yes
ID1124,Male,1,No,Yes,26,No,Yes,No,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,71.38,482.18,Yes
ID1125,Female,1,No,No,39,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,One year,No,Bank transfer,77.56,3473.79,No
ID1126,Female,1,Yes,No,32,No,No phone service,DSL,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,48.2,2365.85,No
ID1127,Male,1,Yes,No,0,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,21.77,8679.04,Yes
ID1128,Female,1,Yes,Yes,7,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,21.99,2691.84,Yes
ID1129,Female,1,No,No,31,Yes,No,No,No,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,20.9,7683.99,No
ID1130,Female,1,Yes,No,47,No,No,No,No internet service,No,No,No internet service,Yes,Yes,Two year,No,Electronic check,92.53,5879.43,No
ID1131,Male,1,Yes,Yes,3,No,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Two year,No,Credit card,50.21,2973.97,No
ID1132,Male,1,No,No,69,No,No phone service,No,No internet service,No internet service,No internet service,No,Yes,No,Two year,No,Bank transfer,98.28,4729.62,No
ID1133,Male,0,Yes,Yes,18,Yes,Yes,No,Yes,No,No,No internet service,No,Yes,One year,No,Credit card,61.64,7303.08,No
ID1134,Male,0,Yes,No,31,Yes,No phone service,DSL,No,Yes,No,Yes,No,No,One year,No,Electronic check,63.78,7674.21,No
ID1135,Male,0,Yes,Yes,8,No,Yes,DSL,No internet service,Yes,No,No,Yes,No internet service,Two year,No,Mailed check,69.79,1409.78,Yes
ID1136,Male,0,No,No,11,No,No phone service,No,No,No internet service,No internet service,No,No,Yes,One year,No,Electronic check,89.91,2962.33,No
ID1137,Male,1,No,No,10,No,No,No,Yes,Yes,No,Yes,No,No internet service,Month-to-month,No,Credit card,45.74,2924.64,No
ID1138,Male,1,No,Yes,45,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,No,One year,No,Electronic check,30.47,384.31,No
ID1139,Male,0,No,Yes,15,Yes,No,No,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card,74.13,5203.61,No
ID1140,Female,1,No,No,0,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No,No,Month-to-month,No,Credit card,51.11,7426.84,Yes
ID1141,Male,0,No,Yes,62,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,One year,No,Credit card,62.72,3326.27,Yes
ID1142,Female,1,No,Yes,20,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,No internet service,One year,Yes,Credit card,83.27,6432.26,Yes
ID1143,Female,0,Yes,Yes,29,No,No,No,Yes,No internet service,No internet service,Yes,Yes,No internet service,Two year,No,Electronic check,67.91,5458.9,Yes
ID1144,Female,1,Yes,Yes,12,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Credit card,80.59,3274.92,No
ID1145,Male,1,No,No,33,Yes,No,No,Yes,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Credit card,72.94,1242.25,Yes
ID1146,Male,0,Yes,No,3,Yes,No,No,No internet service,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer,92.6,6166.15,No
ID1147,Male,1,Yes,Yes,27,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card,89.2,7424.64,No
ID1148,Male,0,No,Yes,58,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,71.94,5962.79,Yes
ID1149,Female,0,Yes,Yes,26,No,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Credit card,86.48,174.91,Yes
ID1150,Male,0,Yes,Yes,68,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Two year,No,Mailed check,106.04,1893.61,No
ID1151,Male,0,Yes,No,24,Yes,No phone service,No,No,No internet service,No internet service,Yes,No,No,Two year,No,Mailed check,61.69,622.03,Yes
ID1152,Male,1,Yes,No,2,Yes,No,DSL,No,No,Yes,No internet service,Yes,No,Two year,Yes,Credit card,59.73,4962.28,Yes
ID1153,Male,1,Yes,Yes,67,No,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,95.06,6574.73,No
ID1154,Male,1,No,Yes,24,No,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No,One year,No,Mailed check,76.8,978.15,No
ID1155,Female,0,No,Yes,19,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,Two year,Yes,Electronic check,25.39,7284.03,No
ID1156,Male,1,No,No,33,Yes,No,DSL,Yes,Yes,No,Yes,No internet service,No,Two year,No,Bank transfer,107.91,4833.37,No
ID1157,Female,0,Yes,Yes,25,No,No,DSL,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,21.34,5998.44,No
ID1158,Male,1,No,No,4,Yes,Yes,No,No internet service,Yes,No,No internet service,Yes,No,Two year,No,Mailed check,93.46,8437.0,Yes
ID1159,Female,1,Yes,Yes,60,Yes,Yes,DSL,No internet service,Yes,No,No,No internet service,No,One year,No,Bank transfer,94.51,745.08,No
ID1160,Male,1,Yes,No,8,No,No,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,114.04,7828.93,No
ID1161,Male,0,Yes,Yes,49,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,No,Month-to-month,No,Mailed check,23.69,1112.65,No
ID1162,Female,1,Yes,No,5,Yes,Yes,No,No internet service,No,No,No internet service,Yes,No internet service,One year,Yes,Credit card,78.23,3424.91,Yes
ID1163,Female,1,No,Yes,59,Yes,No,No,No internet service,Yes,No,No internet service,Yes,Yes,One year,No,Mailed check,61.25,7397.55,No
ID1164,Female,0,No,Yes,43,No,No,No,No,Yes,No internet service,Yes,No,No internet service,One year,No,Credit card,51.48,7872.51,No
ID1165,Male,1,Yes,Yes,10,Yes,No,No,No,No,No internet service,No internet service,No internet service,No,Two year,Yes,Credit card,27.33,4407.61,Yes
ID1166,Female,0,No,No,65,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card,74.8,5167.8,No
ID1167,Male,1,Yes,Yes,46,No,No phone service,No,No,No internet service,No internet service,No,Yes,No,Month-to-month,No,Bank transfer,66.39,6155.96,No
ID1168,Male,0,No,No,2,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Mailed check,28.76,7235.69,No
ID1169,Female,0,No,No,29,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,79.81,1072.87,Yes
ID1170,Female,1,Yes,Yes,20,No,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,92.41,7039.09,Yes
ID1171,Male,0,No,Yes,27,Yes,No,No,No,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer,95.36,4190.16,No
ID1172,Male,0,Yes,Yes,61,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Electronic check,109.24,3924.56,No
ID1173,Female,0,No,No,32,Yes,Yes,No,No,No internet service,Yes,No,No,Yes,Two year,Yes,Electronic check,59.4,3693.01,No
ID1174,Female,0,Yes,Yes,34,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card,114.03,4432.22,Yes
ID1175,Female,0,Yes,No,51,Yes,No,No,Yes,No,No internet service,No internet service,Yes,No internet service,One year,No,Bank transfer,105.23,8208.67,Yes
ID1176,Male,0,No,No,33,No,No,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Electronic check,48.05,4770.08,Yes
ID1177,Male,1,No,Yes,40,No,No phone service,DSL,No,No,No,No internet service,Yes,Yes,One year,No,Mailed check,34.26,8279.09,Yes
ID1178,Male,0,Yes,Yes,50,No,No phone service,No,No,No internet service,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,62.01,1582.18,Yes
